idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,IC217A,IC217A,simple,1.90,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.275,"[ollama] correctness=0.20, readability=0.30, pep8=0.40, pythonic=0.10, types=0.50"
2,IX302M,IX302M,simple,1.90,True,neural,False,FAIL,"6 check(s) failed: python_syntax_valid, paragraph_coverage, identifier_coverage, body_non_trivial, python_smoke, llm_judge.",False,0.0,0.0,True,0.0,"[ollama] correctness=0.00, readability=0.00, pep8=0.00, pythonic=0.00, types=0.00"
3,IC104A,IC104A,simple,2.15,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
4,SM301M,SM301M,simple,2.15,True,neural,True,FAIL,"2 check(s) failed: paragraph_coverage, llm_judge.",True,0.333,1.0,True,0.695,"[ollama] correctness=0.80, readability=0.70, pep8=0.90, pythonic=0.60, types=0.40"
5,DB301M,DB301M,simple,2.15,True,neural,True,FAIL,"5 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, execution_match, llm_judge.",True,0.0,0.0,True,0.11,"[ollama] correctness=0.00, readability=0.30, pep8=0.20, pythonic=0.10, types=0.00"
6,CM303M,CM303M,simple,2.15,True,neural,True,FAIL,"5 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, execution_match, llm_judge.",True,0.0,0.0,True,0.235,"[ollama] correctness=0.00, readability=0.30, pep8=0.40, pythonic=0.20, types=0.50"
7,CM401M,CM401M,simple,2.40,True,neural,True,FAIL,"5 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, python_smoke, llm_judge.",True,0.0,0.0,True,0.17,"[ollama] correctness=0.00, readability=0.30, pep8=0.20, pythonic=0.10, types=0.40"
8,IC109A,IC109A,simple,2.65,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
9,OBIC1A,OBIC1A,simple,2.90,True,neural,False,FAIL,"6 check(s) failed: python_syntax_valid, paragraph_coverage, identifier_coverage, body_non_trivial, python_smoke, llm_judge.",False,0.0,0.0,True,0.0,"[ollama] correctness=0.00, readability=0.00, pep8=0.00, pythonic=0.00, types=0.00"
10,IX401M,IX401M,simple,3.40,True,neural,False,FAIL,"5 check(s) failed: python_syntax_valid, paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",False,0.0,0.0,True,0.0,"[ollama] correctness=0.00, readability=0.00, pep8=0.00, pythonic=0.00, types=0.00"
11,RL301M,RL301M,simple,5.90,True,neural,True,FAIL,"5 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, execution_match, llm_judge.",True,0.0,0.0,True,0.165,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.40"
12,ST120A,ST120A,simple,6.40,True,neural,False,FAIL,"5 check(s) failed: python_syntax_valid, paragraph_coverage, identifier_coverage, python_smoke, llm_judge.",False,0.0,0.0,True,0.0,"[ollama] correctness=0.00, readability=0.00, pep8=0.00, pythonic=0.00, types=0.00"
13,ST116A,ST116A,simple,6.40,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, python_smoke, llm_judge.",True,0.0,0.0,True,0.31,"[ollama] correctness=0.00, readability=0.30, pep8=0.40, pythonic=0.20, types=1.00"
14,ST110A,ST110A,simple,6.40,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.11,"[ollama] correctness=0.00, readability=0.30, pep8=0.20, pythonic=0.10, types=0.00"
15,ST113M,ST113M,simple,6.40,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.31,"[ollama] correctness=0.00, readability=0.30, pep8=0.40, pythonic=0.20, types=1.00"
16,IC105A,IC105A,simple,6.90,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
17,IC113A,IC113A,simple,7.15,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.34,"[ollama] correctness=0.20, readability=0.40, pep8=0.30, pythonic=0.10, types=0.90"
18,RW302M,RW302M,simple,7.90,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.17,"[ollama] correctness=0.00, readability=0.30, pep8=0.20, pythonic=0.10, types=0.40"
19,CM103M,CM103M,medium,12.15,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
20,SQ209M,SQ209M,medium,16.65,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.016,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
21,IC237A,IC237A,medium,16.65,True,neural,True,FAIL,"5 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, python_smoke, llm_judge.",True,0.0,0.0,True,0.645,"[ollama] correctness=0.20, readability=0.80, pep8=0.90, pythonic=0.70, types=1.00"
22,IF107A,IF107A,medium,17.15,True,neural,True,FAIL,"5 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, execution_match, llm_judge.",True,0.0,0.0,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
23,SQ154A,SQ154A,medium,17.15,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.27,"[ollama] correctness=0.10, readability=0.20, pep8=0.30, pythonic=0.40, types=0.50"
24,IX101A,IX101A,medium,17.15,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.17,"[ollama] correctness=0.00, readability=0.10, pep8=0.20, pythonic=0.30, types=0.40"
25,SQ155A,SQ155A,medium,17.15,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
26,SQ143A,SQ143A,medium,17.15,True,neural,True,FAIL,"4 check(s) failed: paragraph_coverage, identifier_coverage, body_non_trivial, llm_judge.",True,0.0,0.0,True,0.105,"[ollama] correctness=0.00, readability=0.20, pep8=0.30, pythonic=0.10, types=0.00"
