idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,IC217A,IC217A,simple,1.90,True,rule-based,True,PASS,All 6 active check(s) passed.,True,1.0,1.0,True,0.7,"[ollama] correctness=0.80, readability=0.60, pep8=0.70, pythonic=0.50, types=0.90"
2,IX302M,IX302M,simple,1.90,True,rule-based,True,FAIL,1 check(s) failed: llm_judge.,True,1.0,1.0,True,0.415,"[ollama] correctness=0.50, readability=0.30, pep8=0.40, pythonic=0.20, types=0.70"
3,IC104A,IC104A,simple,2.15,True,rule-based,True,PASS,All 6 active check(s) passed.,True,1.0,1.0,True,0.7,"[ollama] correctness=0.80, readability=0.60, pep8=0.70, pythonic=0.50, types=0.90"
4,SM301M,SM301M,simple,2.15,True,rule-based,True,FAIL,1 check(s) failed: llm_judge.,True,1.0,1.0,True,0.275,"[ollama] correctness=0.20, readability=0.30, pep8=0.40, pythonic=0.10, types=0.50"
5,DB301M,DB301M,simple,2.15,True,rule-based,True,FAIL,1 check(s) failed: llm_judge.,True,1.0,1.0,True,0.415,"[ollama] correctness=0.50, readability=0.30, pep8=0.40, pythonic=0.20, types=0.70"
6,CM303M,CM303M,simple,2.15,True,rule-based,True,FAIL,1 check(s) failed: llm_judge.,True,1.0,1.0,True,0.335,"[ollama] correctness=0.20, readability=0.30, pep8=0.40, pythonic=0.10, types=0.90"
7,CM401M,CM401M,simple,2.40,True,rule-based,True,FAIL,1 check(s) failed: llm_judge.,True,1.0,1.0,True,0.335,"[ollama] correctness=0.20, readability=0.30, pep8=0.40, pythonic=0.10, types=0.90"
8,IC109A,IC109A,simple,2.65,True,rule-based,True,PASS,All 6 active check(s) passed.,True,1.0,1.0,True,0.7,"[ollama] correctness=0.80, readability=0.60, pep8=0.70, pythonic=0.50, types=0.90"
9,OBIC1A,OBIC1A,simple,2.90,True,rule-based,True,PASS,All 6 active check(s) passed.,True,1.0,1.0,True,0.715,"[ollama] correctness=0.80, readability=0.60, pep8=0.70, pythonic=0.50, types=1.00"
10,IX401M,IX401M,simple,3.40,True,rule-based,True,FAIL,1 check(s) failed: llm_judge.,True,1.0,1.0,True,0.445,"[ollama] correctness=0.50, readability=0.30, pep8=0.40, pythonic=0.20, types=0.90"
