idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,K1SEA,K1SEA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
2,K1WKY,K1WKY,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
3,ALTL1,ALTL1,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
4,K3OCA,K3OCA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
5,K1WKZ,K1WKZ,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
6,KK208A,KK208A,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
7,KSM31,KSM31,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
8,ALTLB,ALTLB,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
9,K3IOA,K3IOA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
10,K2PRA,K2PRA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
11,K3IOB,K3IOB,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
12,K5SDB,K5SDB,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
13,K4NTA,K4NTA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
14,K3SML,K3SML,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
15,KP003,KP003,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
16,KP002,KP002,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
17,K3SNA,K3SNA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
18,K5SDA,K5SDA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
19,K7SEA,K7SEA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
20,KP001,KP001,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
21,K3SNB,K3SNB,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
22,K1DAA,K1DAA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
23,K3SCA,K3SCA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
24,KP005,KP005,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
25,KP004,KP004,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
26,KP010,KP010,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
27,KSM41,KSM41,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
28,KP006,KP006,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
29,KP007,KP007,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
30,K3FCA,K3FCA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
31,K1PRA,K1PRA,simple,0.35,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
