idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,SM106A,SM106A,simple,0.70,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
2,IC217A,IC217A,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
3,IX302M,IX302M,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
4,IC211A,IC211A,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
5,SG303M,SG303M,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
6,SG401M,SG401M,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
7,IC212A,IC212A,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
8,SG302M,SG302M,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
9,RL302M,RL302M,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
10,SQ302M,SQ302M,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
11,IC214A,IC214A,simple,1.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
12,IC104A,IC104A,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
13,SM301M,SM301M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
14,DB301M,DB301M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
15,CM303M,CM303M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
16,IF401M,IF401M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
17,IC102A,IC102A,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
18,IC206A,IC206A,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
19,DB304M,DB304M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
20,IF403M,IF403M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
21,IF402M,IF402M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
22,DB305M,DB305M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
23,IC215A,IC215A,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
24,SM401M,SM401M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
25,SQ303M,SQ303M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
26,DB302M,DB302M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
27,DB303M,DB303M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
28,IC202A,IC202A,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
29,IC111A,IC111A,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
30,CM401M,CM401M,simple,2.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
31,IC204A,IC204A,simple,2.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
32,IC118M,IC118M,simple,2.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
33,IC109A,IC109A,simple,2.65,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
34,IC110A,IC110A,simple,2.65,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
35,IC107A,IC107A,simple,2.65,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
36,OBIC1A,OBIC1A,simple,2.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
37,IC117M,IC117M,simple,2.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
38,IC208A,IC208A,simple,3.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
39,IX401M,IX401M,simple,3.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
40,SQ401M,SQ401M,simple,3.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
41,RL401M,RL401M,simple,3.40,True,rule-based,False,FAIL,1 check(s) failed: body_non_trivial.,True,1.0,1.0,,,
42,IC401M,IC401M,simple,3.65,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
43,RL301M,RL301M,simple,5.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
44,IX301M,IX301M,simple,5.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
45,ST120A,ST120A,simple,6.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
46,ST116A,ST116A,simple,6.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
47,ST110A,ST110A,simple,6.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
48,ST113M,ST113M,simple,6.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
