idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,K1SEA,K1SEA,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfDGUFwebMbE5BBjiyP'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
2,K1WKY,K1WKY,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfDeDTQxFVJAHfHX6av'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
3,ALTL1,ALTL1,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfDyfF88Ymd4jrDJXZ6'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
4,K3OCA,K3OCA,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfEKEUfTuDHbZUfbwSX'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
5,K1WKZ,K1WKZ,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfEf6KXVtuHehvPpMMg'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
6,KK208A,KK208A,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfEzPgDeTCcdF23HcVV'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
7,KSM31,KSM31,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfFPGqfnULZiE8fJ8Pw'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
8,ALTLB,ALTLB,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfFiUjsR43CwzWD4CvU'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
9,K3IOA,K3IOA,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfG3cgP1v8tsVHzKCQL'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
10,K2PRA,K2PRA,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfGPjtz8gZSsjQGjLLE'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
11,K3IOB,K3IOB,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfGjmQqezLV7cgEL6tc'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
12,K5SDB,K5SDB,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfH4V3SxMR6Q5QTj8Y5'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
13,K4NTA,K4NTA,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfHQDhYqztyeSyZiwQd'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
14,K3SML,K3SML,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfHjzaTjntECnidmEiX'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
15,KP003,KP003,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfJ4udFGqMLJvMY1xmF'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
16,KP002,KP002,simple,0.35,True,rule-based,True,INCONCLUSIVE,"3 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available. llm_judge skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}) | anthropic: judge call failed (Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbPfJQsRKHQrkUHLfW2SK'})",True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
