idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,K1SEA,K1SEA,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
2,K1WKY,K1WKY,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
3,ALTL1,ALTL1,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
4,K3OCA,K3OCA,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
5,K1WKZ,K1WKZ,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
6,KK208A,KK208A,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
7,KSM31,KSM31,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
8,ALTLB,ALTLB,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
9,K3IOA,K3IOA,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
10,K2PRA,K2PRA,simple,0.35,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
11,IC217A,IC217A,simple,1.05,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
12,IC104A,IC104A,simple,1.05,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
13,SM301M,SM301M,simple,1.05,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
14,IX302M,IX302M,simple,1.05,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
15,ST116A,ST116A,simple,1.05,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
16,IC109A,IC109A,simple,1.05,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
17,DB301M,DB301M,simple,1.05,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
18,IX401M,IX401M,simple,2.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
19,ST120A,ST120A,simple,6.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
20,CM103M,CM103M,simple,6.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
21,SQ154A,SQ154A,simple,10.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
22,SQ155A,SQ155A,simple,10.15,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
23,SQ230A,SQ230A,simple,10.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
24,SQ143A,SQ143A,simple,10.40,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
25,SQ135A,SQ135A,simple,10.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
26,SQ142A,SQ142A,simple,10.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
27,SQ139A,SQ139A,simple,10.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
28,SQ138A,SQ138A,simple,10.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
29,SQ211A,SQ211A,simple,11.65,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
30,SQ115A,SQ115A,medium,12.90,True,rule-based,False,INCONCLUSIVE,"4 structural check(s) passed, but no behavioural signal (execution_match / llm_judge) was available.",True,1.0,1.0,,,
